# Demand is filled from sku2778.demand_with_na.csv. Filling function can be found in fill_missing from https://github.com/zhangchuheng123/ReplenishmentEnv/blob/data_process/process_origin_data.py,Unnamed: 1,Unnamed: 2,Unnamed: 3
Date,SKU0,SKU1,SKU2
2018/11/6,19,24,15
2018/11/7,14,25,18
2018/11/8,31,21,11
2018/11/9,13,21,13
2018/11/10,15,17,20
2018/11/11,19,28,25
2018/11/12,18,21,25
2018/11/13,24,23,19
2018/11/14,24,21,18
2018/11/15,16,14,21
2018/11/16,22,20,19
2018/11/17,25,22,12
2018/11/18,20,18,23
2018/11/19,20,15,25
2018/11/20,23,20,13
2018/11/21,18,23,20
2018/11/22,26,17,14
2018/11/23,20,19,22
2018/11/24,18,24,24
2018/11/25,22,15,13
2018/11/26,19,17,15
2018/11/27,25,28,20
2018/11/28,23,21,17
2018/11/29,26,28,17
2018/11/30,19,15,26
2018/12/1,19,20,19
2018/12/2,18,19,23
2018/12/3,19,20,16
2018/12/4,18,15,21
2018/12/5,12,13,21
2018/12/6,18,17,22
2018/12/7,19,12,28
2018/12/8,19,18,19
2018/12/9,16,18,18
2018/12/10,25,21,19
2018/12/11,19,25,14
2018/12/12,19,18,9
2018/12/13,20,22,31
2018/12/14,25,21,14
2018/12/15,21,14,26
2018/12/16,22,26,26
2018/12/17,9,24,17
2018/12/18,18,18,20
2018/12/19,25,22,26
2018/12/20,18,19,24
2018/12/21,23,22,21
2018/12/22,15,27,30
2018/12/23,14,12,14
2018/12/24,22,11,21
2018/12/25,16,18,15
2018/12/26,19,28,27
2018/12/27,12,16,26
2018/12/28,23,17,14
2018/12/29,22,24,24
2018/12/30,18,14,23
2018/12/31,19,21,22
2019/1/1,19,29,17
2019/1/2,17,24,16
2019/1/3,21,21,15
2019/1/4,20,22,24
2019/1/5,18,22,22
2019/1/6,16,16,23
2019/1/7,15,24,23
2019/1/8,21,22,13
2019/1/9,19,17,17
2019/1/10,16,18,17
2019/1/11,20,18,18
2019/1/12,30,15,15
2019/1/13,19,27,24
2019/1/14,22,30,17
2019/1/15,31,16,16
2019/1/16,20,28,21
2019/1/17,10,23,22
2019/1/18,17,21,12
2019/1/19,30,23,18
2019/1/20,19,27,20
2019/1/21,34,30,18
2019/1/22,19,14,13
2019/1/23,24,17,27
2019/1/24,25,13,22
2019/1/25,22,21,31
2019/1/26,17,20,14
2019/1/27,20,21,19
2019/1/28,27,22,13
2019/1/29,25,29,25
2019/1/30,11,13,23
2019/1/31,22,14,20
2019/2/1,18,18,24
2019/2/2,23,20,15
2019/2/3,17,22,20
2019/2/4,18,30,25
2019/2/5,13,27,24
2019/2/6,23,25,25
2019/2/7,19,13,19
2019/2/8,27,25,24
2019/2/9,21,23,18
2019/2/10,13,26,24
2019/2/11,20,14,25
2019/2/12,9,17,22
2019/2/13,29,25,26
2019/2/14,27,19,15
2019/2/15,19,25,12
2019/2/16,27,22,12
2019/2/17,20,19,24
2019/2/18,18,16,18
2019/2/19,20,13,16
2019/2/20,21,26,14
2019/2/21,24,19,15
2019/2/22,23,16,21
2019/2/23,20,27,25
2019/2/24,15,17,15
2019/2/25,27,22,19
2019/2/26,19,24,20
2019/2/27,23,17,22
2019/2/28,24,13,20
2019/3/1,22,21,17
2019/3/2,17,21,20
2019/3/3,26,18,23
2019/3/4,26,20,18
2019/3/5,13,14,16
2019/3/6,22,21,23
2019/3/7,28,24,26
2019/3/8,22,22,24
2019/3/9,23,23,13
2019/3/10,19,18,12
2019/3/11,15,20,14
2019/3/12,22,13,25
2019/3/13,19,21,22
2019/3/14,17,18,21
2019/3/15,11,28,25
2019/3/16,22,33,14
2019/3/17,27,18,21
2019/3/18,15,22,11
2019/3/19,13,22,19
2019/3/20,23,24,19
2019/3/21,19,27,14
2019/3/22,20,23,25
2019/3/23,12,23,15
2019/3/24,11,17,18
2019/3/25,17,24,26
2019/3/26,21,25,11
2019/3/27,18,22,21
2019/3/28,15,18,29
2019/3/29,18,14,24
2019/3/30,17,24,12
2019/3/31,27,17,13
2019/4/1,24,24,24
2019/4/2,17,15,24
2019/4/3,18,22,22
2019/4/4,23,18,23
2019/4/5,21,27,17
2019/4/6,32,13,11
2019/4/7,15,21,25
2019/4/8,20,14,11
2019/4/9,26,17,29
2019/4/10,18,20,27
2019/4/11,22,19,8
2019/4/12,13,18,23
2019/4/13,18,18,11
2019/4/14,30,28,24
2019/4/15,22,8,20
2019/4/16,25,25,9
2019/4/17,25,13,21
2019/4/18,26,18,21
2019/4/19,31,20,14
2019/4/20,27,24,17
2019/4/21,5,21,14
2019/4/22,22,26,22
2019/4/23,18,21,24
2019/4/24,14,20,26
2019/4/25,24,30,20
2019/4/26,13,25,23
2019/4/27,20,15,18
2019/4/28,17,19,23
2019/4/29,21,16,10
2019/4/30,26,17,27
2019/5/1,33,14,19
2019/5/2,23,18,33
2019/5/3,20,20,21
2019/5/4,17,19,26
2019/5/5,18,14,29
2019/5/6,22,20,16
2019/5/7,26,13,22
2019/5/8,15,13,17
2019/5/9,15,19,22
2019/5/10,22,24,19
2019/5/11,30,20,22
2019/5/12,20,17,16
2019/5/13,25,19,27
2019/5/14,29,17,14
2019/5/15,21,19,19
2019/5/16,27,16,26
2019/5/17,24,18,12
2019/5/18,29,19,23
2019/5/19,20,13,19
2019/5/20,29,31,17
2019/5/21,19,18,23
2019/5/22,20,23,29
2019/5/23,17,16,21
2019/5/24,16,20,23
2019/5/25,18,15,12
2019/5/26,22,20,27
2019/5/27,13,27,21
2019/5/28,21,16,20
2019/5/29,22,17,22
2019/5/30,16,26,14
2019/5/31,15,14,15
2019/6/1,21,13,21
2019/6/2,15,18,19
2019/6/3,26,27,9
2019/6/4,20,24,20
2019/6/5,9,19,22
2019/6/6,17,17,19
2019/6/7,12,21,18
2019/6/8,18,11,22
2019/6/9,18,20,19
2019/6/10,20,14,22
2019/6/11,22,24,22
2019/6/12,17,12,13
2019/6/13,19,21,18
2019/6/14,7,16,19
2019/6/15,25,14,25
2019/6/16,21,18,19
2019/6/17,26,21,24
2019/6/18,20,13,28
2019/6/19,24,15,22
2019/6/20,18,24,7
2019/6/21,14,18,18
2019/6/22,21,19,27
2019/6/23,32,15,21
2019/6/24,18,18,23
2019/6/25,23,21,22
2019/6/26,23,24,19
2019/6/27,28,18,14
2019/6/28,24,15,24
2019/6/29,26,20,18
2019/6/30,17,15,20
2019/7/1,30,11,24
2019/7/2,21,24,14
2019/7/3,29,25,28
2019/7/4,16,17,30
2019/7/5,24,23,27
2019/7/6,21,25,20
2019/7/7,20,20,20
2019/7/8,27,20,14
2019/7/9,18,18,24
2019/7/10,19,13,18
2019/7/11,21,29,23
2019/7/12,24,20,15
2019/7/13,23,21,16
2019/7/14,23,21,20
2019/7/15,23,12,24
2019/7/16,30,15,15
2019/7/17,17,12,21
2019/7/18,18,12,23
2019/7/19,17,17,15
2019/7/20,25,25,19
2019/7/21,11,15,14
2019/7/22,18,21,19
2019/7/23,20,22,23
2019/7/24,12,20,17
2019/7/25,25,21,24
2019/7/26,17,29,18
2019/7/27,14,20,25
2019/7/28,25,15,25
2019/7/29,13,12,23
2019/7/30,22,15,24
2019/7/31,31,18,15
2019/8/1,17,33,29
2019/8/2,20,25,23
2019/8/3,13,21,22
2019/8/4,20,26,20
2019/8/5,25,22,17
2019/8/6,25,19,19
2019/8/7,26,17,22
2019/8/8,24,16,23
2019/8/9,21,20,26
2019/8/10,13,28,16
2019/8/11,19,12,16
2019/8/12,16,20,16
2019/8/13,27,21,21
2019/8/14,19,23,24
2019/8/15,27,14,24
2019/8/16,19,22,26
2019/8/17,21,17,27
2019/8/18,20,15,10
2019/8/19,19,27,21
2019/8/20,13,6,23
2019/8/21,24,21,20
2019/8/22,23,20,18
2019/8/23,23,24,28
2019/8/24,21,17,21
2019/8/25,19,18,21
2019/8/26,16,26,25
2019/8/27,19,21,24
2019/8/28,23,24,19
2019/8/29,23,18,18
2019/8/30,15,19,23
2019/8/31,20,22,20
2019/9/1,25,22,24
2019/9/2,15,15,24
2019/9/3,19,25,18
2019/9/4,20,19,15
2019/9/5,13,21,25
2019/9/6,17,20,18
2019/9/7,25,21,13
2019/9/8,21,30,15
2019/9/9,20,20,17
2019/9/10,25,20,15
2019/9/11,25,18,14
2019/9/12,18,26,19
2019/9/13,16,14,22
2019/9/14,23,18,17
2019/9/15,20,17,20
2019/9/16,33,20,14
2019/9/17,14,15,28
2019/9/18,22,10,20
2019/9/19,23,22,20
2019/9/20,26,19,11
2019/9/21,18,21,16
2019/9/22,18,16,11
2019/9/23,25,25,14
2019/9/24,18,15,27
2019/9/25,27,14,17
2019/9/26,22,23,14
2019/9/27,15,12,17
2019/9/28,17,24,15
2019/9/29,17,22,27
2019/9/30,19,22,28
2019/10/1,21,20,19
2019/10/2,14,30,16
2019/10/3,11,16,12
2019/10/4,16,19,16
2019/10/5,16,21,13
2019/10/6,31,22,24
2019/10/7,5,28,16
2019/10/8,26,16,23
2019/10/9,19,28,25
2019/10/10,19,15,14
2019/10/11,20,19,19
2019/10/12,24,14,21
2019/10/13,25,18,26
2019/10/14,18,24,20
2019/10/15,17,22,28
2019/10/16,8,18,17
2019/10/17,21,18,22
2019/10/18,22,22,23
2019/10/19,21,17,25
2019/10/20,18,23,28
2019/10/21,18,22,17
2019/10/22,17,12,24
2019/10/23,17,12,16
2019/10/24,19,17,17
2019/10/25,22,17,13
2019/10/26,27,18,14
2019/10/27,24,21,26
2019/10/28,13,21,16
2019/10/29,26,17,18
2019/10/30,14,16,26
2019/10/31,21,18,27
2019/11/1,16,22,17
2019/11/2,24,26,23
2019/11/3,16,24,25
2019/11/4,25,27,23
2019/11/5,25,11,12
2019/11/6,18,13,31
2019/11/7,23,22,21
2019/11/8,18,22,23
2019/11/9,18,18,22
2019/11/10,20,24,17
2019/11/11,13,21,15
2019/11/12,28,19,13
2019/11/13,24,15,23
2019/11/14,19,19,12
2019/11/15,30,22,15
2019/11/16,25,22,18
2019/11/17,16,30,17
2019/11/18,23,14,30
2019/11/19,21,17,7
2019/11/20,19,18,24
2019/11/21,23,25,27
2019/11/22,17,8,18
2019/11/23,21,21,21
2019/11/24,8,15,20
2019/11/25,23,20,17
2019/11/26,19,24,16
2019/11/27,20,19,19
2019/11/28,29,22,28
2019/11/29,26,13,21
2019/11/30,22,23,20
2019/12/1,23,15,20
2019/12/2,25,21,22
2019/12/3,23,16,26
2019/12/4,18,13,12
2019/12/5,16,20,20
2019/12/6,24,30,22
2019/12/7,25,18,11
2019/12/8,15,21,24
2019/12/9,19,25,26
2019/12/10,21,20,20
2019/12/11,18,23,18
2019/12/12,15,14,26
2019/12/13,21,22,16
2019/12/14,17,17,13
2019/12/15,19,15,24
2019/12/16,24,14,23
2019/12/17,23,19,19
2019/12/18,27,19,20
2019/12/19,15,16,24
2019/12/20,26,20,19
2019/12/21,28,25,15
2019/12/22,25,24,18
2019/12/23,18,17,18
2019/12/24,10,17,12
2019/12/25,23,13,24
2019/12/26,19,24,20
2019/12/27,28,25,25
2019/12/28,22,20,19
2019/12/29,22,26,22
2019/12/30,22,15,14
2019/12/31,20,22,25
2020/1/1,16,19,25
2020/1/2,22,23,24
2020/1/3,14,18,15
2020/1/4,25,20,18
2020/1/5,21,20,25
2020/1/6,20,17,6
2020/1/7,15,18,35
2020/1/8,18,20,21
2020/1/9,23,12,16
2020/1/10,20,18,16
2020/1/11,22,29,13
2020/1/12,24,24,25
2020/1/13,19,32,18
2020/1/14,26,23,21
2020/1/15,18,21,27
2020/1/16,16,14,23
2020/1/17,9,20,23
2020/1/18,13,18,24
2020/1/19,24,17,20
2020/1/20,24,28,21
2020/1/21,20,19,22
2020/1/22,23,29,20
2020/1/23,24,15,22
2020/1/24,11,21,20
2020/1/25,20,18,16
2020/1/26,21,21,20
2020/1/27,22,30,19
2020/1/28,24,17,23
2020/1/29,14,22,14
2020/1/30,16,17,20
2020/1/31,17,18,22
2020/2/1,28,26,15
2020/2/2,20,20,16
2020/2/3,19,21,10
2020/2/4,12,21,21
2020/2/5,18,21,22
2020/2/6,17,13,16
2020/2/7,20,21,14
2020/2/8,10,16,15
2020/2/9,25,25,18
2020/2/10,20,12,27
2020/2/11,27,24,12
2020/2/12,23,20,18
2020/2/13,19,9,22
2020/2/14,23,24,17
2020/2/15,13,18,16
2020/2/16,24,8,14
2020/2/17,18,20,20
2020/2/18,15,21,22
2020/2/19,17,12,17
2020/2/20,17,13,23
2020/2/21,6,19,27
2020/2/22,18,22,28
2020/2/23,20,14,20
2020/2/24,25,15,13
2020/2/25,21,17,17
2020/2/26,22,25,20
2020/2/27,12,21,14
2020/2/28,28,21,23
2020/2/29,16,25,19
2020/3/1,25,26,19
2020/3/2,20,23,27
2020/3/3,14,27,12
2020/3/4,18,16,12
2020/3/5,14,18,20
2020/3/6,16,31,17
2020/3/7,19,10,25
2020/3/8,32,18,21
2020/3/9,25,17,24
2020/3/10,12,14,20
2020/3/11,25,20,24
2020/3/12,18,21,13
2020/3/13,19,16,29
2020/3/14,21,17,18
2020/3/15,29,13,14
2020/3/16,22,29,29
2020/3/17,20,22,20
2020/3/18,25,16,9
2020/3/19,20,17,23
2020/3/20,18,22,14
2020/3/21,12,20,18
2020/3/22,23,15,20
2020/3/23,16,17,25
2020/3/24,23,30,24
2020/3/25,28,18,11
2020/3/26,18,15,15
2020/3/27,22,23,24
2020/3/28,22,25,19
2020/3/29,20,33,11
2020/3/30,15,22,19
2020/3/31,10,21,28
2020/4/1,23,22,16
2020/4/2,14,21,19
2020/4/3,23,23,25
2020/4/4,16,19,22
2020/4/5,19,20,26
2020/4/6,17,16,12
2020/4/7,20,9,22
2020/4/8,14,20,24
2020/4/9,12,11,24
2020/4/10,25,15,22
2020/4/11,13,23,14
2020/4/12,19,21,9
2020/4/13,20,21,21
2020/4/14,19,18,20
2020/4/15,18,20,23
2020/4/16,26,24,28
2020/4/17,22,23,16
2020/4/18,23,18,21
2020/4/19,22,24,20
2020/4/20,29,23,22
2020/4/21,20,23,25
2020/4/22,20,15,19
2020/4/23,10,18,16
2020/4/24,19,19,22
2020/4/25,24,14,15
2020/4/26,28,19,28
2020/4/27,25,21,24
2020/4/28,17,21,20
2020/4/29,28,17,23
2020/4/30,28,13,15
2020/5/1,20,15,21
2020/5/2,22,15,25
2020/5/3,24,25,19
2020/5/4,25,22,12
2020/5/5,16,12,20
2020/5/6,21,12,14
2020/5/7,22,20,20
2020/5/8,18,25,27
2020/5/9,25,19,14
2020/5/10,18,18,18
2020/5/11,21,19,23
2020/5/12,19,25,19
2020/5/13,19,30,21
2020/5/14,27,22,28
2020/5/15,15,19,17
2020/5/16,25,27,19
2020/5/17,23,32,29
2020/5/18,14,21,25
2020/5/19,13,27,17
2020/5/20,18,17,24
2020/5/21,12,14,19
2020/5/22,18,13,15
2020/5/23,14,19,25
2020/5/24,29,14,21
2020/5/25,20,27,24
2020/5/26,17,17,19
2020/5/27,20,21,24
2020/5/28,24,17,30
2020/5/29,20,16,12
2020/5/30,15,17,28
2020/5/31,15,24,22
2020/6/1,13,24,15
2020/6/2,21,17,28
2020/6/3,17,22,6
2020/6/4,17,10,25
2020/6/5,20,18,26
2020/6/6,20,24,17
2020/6/7,15,27,17
2020/6/8,16,10,16
2020/6/9,15,12,17
2020/6/10,22,30,14
2020/6/11,23,18,18
2020/6/12,23,23,15
2020/6/13,23,20,15
2020/6/14,31,25,14
2020/6/15,15,18,22
2020/6/16,21,21,18
2020/6/17,22,17,26
2020/6/18,19,20,22
2020/6/19,26,23,12
2020/6/20,17,18,14
2020/6/21,21,21,19
2020/6/22,26,27,18
2020/6/23,22,14,23
2020/6/24,38,14,23
2020/6/25,17,15,29
2020/6/26,10,17,10
2020/6/27,21,24,22
2020/6/28,20,24,19
2020/6/29,18,19,22
2020/6/30,23,19,18
2020/7/1,20,13,11
2020/7/2,25,23,21
2020/7/3,19,23,16
2020/7/4,17,21,18
2020/7/5,16,17,20
2020/7/6,17,16,17
2020/7/7,13,16,19
2020/7/8,15,24,30
2020/7/9,17,26,19
2020/7/10,24,18,14
2020/7/11,26,22,17
2020/7/12,22,17,23
2020/7/13,19,17,19
2020/7/14,17,27,23
2020/7/15,21,22,25
2020/7/16,19,23,20
2020/7/17,19,22,15
2020/7/18,22,20,15
2020/7/19,9,28,24
2020/7/20,22,23,19
2020/7/21,24,27,15
2020/7/22,22,20,24
2020/7/23,22,18,21
2020/7/24,17,15,27
2020/7/25,15,14,14
2020/7/26,15,17,11
2020/7/27,25,27,22
2020/7/28,23,22,17
2020/7/29,29,21,26
2020/7/30,16,29,14
2020/7/31,19,29,16
2020/8/1,23,21,23
2020/8/2,16,22,18
2020/8/3,17,20,19
2020/8/4,19,19,22
2020/8/5,26,11,22
2020/8/6,19,25,18
2020/8/7,22,16,15
2020/8/8,10,29,23
2020/8/9,19,13,25
2020/8/10,21,14,21
2020/8/11,23,15,22
2020/8/12,17,24,12
2020/8/13,27,18,24
2020/8/14,24,23,16
2020/8/15,19,17,25
2020/8/16,10,23,24
2020/8/17,21,21,21
2020/8/18,24,34,15
2020/8/19,30,20,18
2020/8/20,20,20,20
2020/8/21,24,26,20
2020/8/22,35,14,22
2020/8/23,9,22,17
2020/8/24,27,30,20
2020/8/25,22,19,27
2020/8/26,21,22,15
2020/8/27,18,24,18
2020/8/28,9,25,14
2020/8/29,16,20,13
2020/8/30,16,22,19
2020/8/31,14,14,23
2020/9/1,22,26,31
2020/9/2,14,21,27
2020/9/3,18,23,19
2020/9/4,23,16,31
2020/9/5,15,21,25
2020/9/6,12,15,23
2020/9/7,22,16,23
2020/9/8,16,19,19
2020/9/9,12,10,14
2020/9/10,17,14,4
2020/9/11,20,20,14
2020/9/12,26,10,15
2020/9/13,28,22,13
2020/9/14,19,10,18
2020/9/15,33,27,20
2020/9/16,18,18,26
2020/9/17,18,27,11
2020/9/18,16,8,22
2020/9/19,24,13,15
2020/9/20,23,18,12
2020/9/21,21,16,22
2020/9/22,17,19,15
2020/9/23,28,22,25
2020/9/24,14,20,22
2020/9/25,27,20,20
2020/9/26,21,21,20
2020/9/27,23,20,21
2020/9/28,24,25,28
2020/9/29,25,22,22
2020/9/30,16,31,24
2020/10/1,17,13,23
2020/10/2,16,15,19
2020/10/3,21,18,13
2020/10/4,26,19,16
2020/10/5,19,20,23
2020/10/6,21,17,19
2020/10/7,20,12,16
2020/10/8,16,26,16
2020/10/9,19,18,18
2020/10/10,16,20,16
2020/10/11,20,29,14
2020/10/12,27,20,25
2020/10/13,23,26,16
2020/10/14,22,10,22
2020/10/15,20,17,24
2020/10/16,32,18,17
2020/10/17,19,23,18
2020/10/18,21,23,23
2020/10/19,15,17,24
2020/10/20,22,22,30
2020/10/21,17,24,21
2020/10/22,24,16,20
2020/10/23,18,30,20
2020/10/24,18,25,18
2020/10/25,31,20,20
2020/10/26,24,20,19
2020/10/27,23,16,21
2020/10/28,13,4,13
2020/10/29,22,20,19
2020/10/30,25,11,14
2020/10/31,26,23,15
2020/11/1,18,22,23
2020/11/2,17,20,16
2020/11/3,26,14,18
2020/11/4,30,14,23
2020/11/5,24,19,9
2020/11/6,23,10,20
2020/11/7,27,17,22
2020/11/8,26,18,24
2020/11/9,31,19,17
2020/11/10,28,7,17
2020/11/11,24,11,31
2020/11/12,17,17,18
2020/11/13,18,24,21
2020/11/14,4,18,25
2020/11/15,22,21,22
2020/11/16,18,22,20
2020/11/17,14,19,17
2020/11/18,28,23,16
2020/11/19,25,30,13
2020/11/20,21,15,21
2020/11/21,19,21,21
2020/11/22,19,19,22
2020/11/23,24,21,19
2020/11/24,16,17,20
2020/11/25,27,21,23
2020/11/26,23,25,18
2020/11/27,19,15,24
2020/11/28,25,25,27
2020/11/29,23,16,10
2020/11/30,18,22,21
2020/12/1,17,24,19
2020/12/2,24,27,19
2020/12/3,15,25,16
2020/12/4,19,20,23
2020/12/5,20,20,15
2020/12/6,21,19,15
2020/12/7,19,23,37
2020/12/8,17,17,25
2020/12/9,24,25,11
2020/12/10,16,20,21
2020/12/11,13,17,12
2020/12/12,23,24,23
2020/12/13,26,21,20
2020/12/14,28,26,24
2020/12/15,16,25,13
2020/12/16,18,12,24
2020/12/17,13,21,20
2020/12/18,19,20,12
2020/12/19,15,18,20
2020/12/20,18,21,20
2020/12/21,32,16,25
2020/12/22,24,19,5
2020/12/23,23,19,16
2020/12/24,26,23,19
2020/12/25,9,25,17
2020/12/26,24,13,21
2020/12/27,21,24,20
2020/12/28,21,15,16
2020/12/29,11,12,19
2020/12/30,18,11,28
2020/12/31,13,19,17
2021/1/1,19,18,25
2021/1/2,21,20,19
2021/1/3,24,28,18
2021/1/4,26,17,25
2021/1/5,25,19,22
2021/1/6,17,11,28
2021/1/7,18,14,23
2021/1/8,25,17,14
2021/1/9,10,18,30
2021/1/10,16,17,23
2021/1/11,28,26,23
2021/1/12,24,21,20
2021/1/13,17,18,18
2021/1/14,22,23,14
2021/1/15,19,18,18
2021/1/16,21,20,16
2021/1/17,11,15,21
2021/1/18,18,24,20
2021/1/19,15,17,20
2021/1/20,25,16,21
2021/1/21,19,20,20
2021/1/22,18,23,16
2021/1/23,30,18,22
2021/1/24,12,20,20
2021/1/25,13,22,25
2021/1/26,23,17,24
2021/1/27,17,25,20
2021/1/28,26,28,23
2021/1/29,20,23,16
2021/1/30,15,16,31
2021/1/31,21,14,23
2021/2/1,18,22,18
2021/2/2,20,18,17
2021/2/3,25,23,29
2021/2/4,19,28,12
2021/2/5,15,9,17
2021/2/6,23,14,9
2021/2/7,28,20,20
2021/2/8,24,13,28
2021/2/9,25,20,16
2021/2/10,16,24,24
2021/2/11,20,24,20
2021/2/12,11,26,19
2021/2/13,20,23,21
2021/2/14,18,9,11
2021/2/15,26,24,12
2021/2/16,21,24,15
2021/2/17,20,15,14
2021/2/18,16,22,25
2021/2/19,20,22,24
2021/2/20,16,19,13
2021/2/21,12,21,20
2021/2/22,17,17,22
2021/2/23,19,19,22
2021/2/24,20,26,28
2021/2/25,22,20,19
2021/2/26,25,18,28
2021/2/27,26,18,23
2021/2/28,33,21,7
2021/3/1,23,28,27
2021/3/2,17,21,23
2021/3/3,14,28,23
2021/3/4,16,11,19
2021/3/5,15,23,19
2021/3/6,22,18,18
2021/3/7,18,16,7
2021/3/8,28,22,22
2021/3/9,23,25,16
2021/3/10,34,24,21
2021/3/11,20,22,25
2021/3/12,26,17,20
2021/3/13,15,18,18
2021/3/14,25,25,27
2021/3/15,19,12,18
2021/3/16,20,24,30
2021/3/17,13,8,24
2021/3/18,9,20,30
2021/3/19,23,19,22
2021/3/20,9,25,12
2021/3/21,17,23,13
2021/3/22,24,21,30
2021/3/23,23,20,14
2021/3/24,32,27,12
2021/3/25,24,14,21
2021/3/26,31,21,19
2021/3/27,16,19,17
2021/3/28,26,13,20
2021/3/29,16,24,19
2021/3/30,31,15,30
2021/3/31,10,12,23
2021/4/1,33,24,15
2021/4/2,28,16,14
2021/4/3,16,17,27
2021/4/4,22,18,23
2021/4/5,22,23,24
2021/4/6,18,26,29
2021/4/7,13,11,28
2021/4/8,25,12,21
2021/4/9,30,17,16
2021/4/10,12,11,31
2021/4/11,21,19,19
2021/4/12,14,22,29
2021/4/13,16,18,20
2021/4/14,18,17,18
2021/4/15,19,23,27
2021/4/16,19,12,24
2021/4/17,16,22,22
2021/4/18,20,24,18
2021/4/19,24,13,22
2021/4/20,15,27,14
2021/4/21,13,17,23
2021/4/22,20,21,18
2021/4/23,13,18,15
2021/4/24,13,26,20
2021/4/25,19,12,17
2021/4/26,18,18,12
2021/4/27,14,23,24
2021/4/28,21,21,25
2021/4/29,18,13,16
2021/4/30,22,27,21
2021/5/1,15,16,17
2021/5/2,22,21,15
2021/5/3,18,17,21
2021/5/4,16,25,30
2021/5/5,18,11,19
2021/5/6,22,22,30
2021/5/7,20,20,24
2021/5/8,32,20,17
2021/5/9,8,9,20
2021/5/10,18,9,24
2021/5/11,32,21,26
2021/5/12,34,11,14
2021/5/13,26,20,15
2021/5/14,10,17,19
2021/5/15,24,26,25
2021/5/16,22,22,15
2021/5/17,18,19,18
2021/5/18,18,26,16
2021/5/19,25,24,21
2021/5/20,21,18,26
2021/5/21,13,24,21
2021/5/22,21,20,12
